Device,Description,สถานที่,การไฟฟ้า,สถานที่ติดตั้ง,ประเภทอุปกรณ์,Availability (%),จำนวนครั้ง Online,ระยะเวลา Online (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Offline,ระยะเวลา Offline (seconds)
1BPC01_S,BERKPRAI COGEN,-,กฟส.บ้านโป่ง,โรงไฟฟ้า,SPP-Substation,4.55,6,0.19,3,1.97,5,2.05,1,0.01,0,0.00
1BPU01_S,BAN PONG UTILITY,-,กฟส.บ้านโป่ง,โรงไฟฟ้า,SPP-Substation,64.50,8,27.10,7,9.09,7,5.74,1,0.08,0,0.00
1RWC01_S,RATCHABURI WORLD COGEN 1,-,กฟส.ราชบุรี,โรงไฟฟ้า,SPP-Substation,94.32,27,105148.04,2,4.32,3,1.02,24,6328.83,0,0.00
1RWC02_S,RATCHABURI WORLD COGEN 2,-,กฟส.ราชบุรี,โรงไฟฟ้า,SPP-Substation,92.28,32,321427.60,2,1.05,4,1.04,29,26905.30,0,0.00
2ENS01_S,ENERGY SERV SOLARCELL,-,กฟส.เขาย้อย,โรงไฟฟ้า,VSPP-Substation,0.00,0,0.00,1,230.14,2,4408.08,0,0.00,2,0.14
2EQU01_S,EQUATOR SOLARCELL,-,กฟส.ชะอำ,โรงไฟฟ้า,VSPP-Substation,99.41,2,0.84,0,0.00,1,0.01,0,0.00,0,0.00
BPA_S,,,,,,93.63,8,68961.24,3,0.08,3,2.07,5,54.59,3,4635.31
BPB_S,BAN PONG 2,สถานีไฟฟ้าบ้านโป่ง 2,กฟส.บ้านโป่ง,สถานีไฟฟ้า,CSCS/SCPS,99.91,52,304294.28,3,1.17,3,6.74,49,251.14,2,0.23
BPC_S,BAN PONG 3,สถานีไฟฟ้าบ้านโป่ง 3,กฟส.บ้านโป่ง,สถานีไฟฟ้า,CSCS/SCPS,91.59,6,41.00,5,0.22,6,2.89,1,0.01,2,0.64
BSP_S,BANG SAPHAN 1,สถานีไฟฟ้าบางสะพาน 1,กฟส.บางสะพาน,สถานีไฟฟ้า,CSCS/SCPS,99.63,7,9199.73,7,25.28,5,5.60,1,2.82,2,0.02
BSR_S,BANG SAPHAN 2,สถานีไฟฟ้าบางสะพาน 2,กฟส.บางสะพาน,สถานีไฟฟ้า,CSCS/SCPS,99.93,7,22826.15,5,7.48,6,7.32,1,0.00,2,0.14
CAA_S,CHA AM 1,สถานีไฟฟ้าชะอำ 1,กฟส.ชะอำ,สถานีไฟฟ้า,CSCS/SCPS,99.89,5,37628.67,2,0.65,4,39.87,1,0.01,2,0.09
CAB_S,CHA AM 2,สถานีไฟฟ้าชะอำ 1,กฟส.ชะอำ,สถานีไฟฟ้า,CSCS/SCPS,12.98,3,0.64,2,0.05,2,1.11,1,3.05,2,0.08
CAC_S,CHA AM 3,สถานีไฟฟ้าชะอำ 3,กฟส.ชะอำ,สถานีไฟฟ้า,CSCS/SCPS,99.89,78,816886.18,2,1.69,4,11.96,74,856.04,2,0.15
CBN_S,CHOM BUNG,สถานีไฟฟ้าจอมบึง,กฟส.จอมบึง,สถานีไฟฟ้า,CSCS/SCPS,99.89,5,5157.22,4,3.34,4,2.51,1,0.01,2,0.01
CPA_S,CHUMPHON 1,สถานีไฟฟ้าชุมพร 1,กฟส.ชุมพร,สถานีไฟฟ้า,CSCS/SCPS,6.47,4,0.65,4,5.37,3,1.12,1,0.00,2,2.83
CPB_S,CHUMPHON 2,สถานีไฟฟ้าชุมพร 2,กฟส.ชุมพร,สถานีไฟฟ้า,CSCS/SCPS,99.99,6,55427.64,4,1.47,4,1.04,1,2.09,2,0.33
DNA_S,DAMNOEN SADUAK,สถานีไฟฟ้าดำเนินสะดวก,กฟส.ดำเนินสะดวก,สถานีไฟฟ้า,CSCS/SCPS,99.91,7,18300.87,3,1.38,4,9.46,4,0.07,3,6.05
HUB_S,HUA HIN 2,สถานีไฟฟ้าหัวหิน 2,กฟส.หัวหิน,สถานีไฟฟ้า,CSCS/SCPS,9.55,3,1.84,2,12.48,2,2.84,2,0.66,2,1.50
HUC_S,HUA HIN 3,สถานีไฟฟ้าหัวหิน 3,กฟส.หัวหิน,สถานีไฟฟ้า,CSCS/SCPS,72.55,3,1.43,2,0.21,2,0.28,1,0.01,2,0.04
HUU_S,HUA HIN 4,สถานีไฟฟ้าหัวหิน 4,กฟส.หัวหิน,สถานีไฟฟ้า,CSCS/SCPS,1.10,2,0.22,2,0.42,2,0.23,0,0.00,2,18.75
ICCP_SRV,,,,,,84.29,11,53058.00,13,9869.09,11,0.17,0,0.00,3,17.71
KHY_S,KHAO YOI 1,สถานีไฟฟ้าเขาย้อย 1,กฟส.เขาย้อย,สถานีไฟฟ้า,CSCS/SCPS,43.45,2,1.19,2,0.50,2,0.06,0,0.00,2,0.99
KHZ_S,KHAO YOI 2,สถานีไฟฟ้าเขาย้อย 2,กฟส.เขาย้อย,สถานีไฟฟ้า,CSCS/SCPS,97.28,20,83105.43,11,5.83,14,301.35,6,1153.78,10,860.63
KUA_S,KUI BURI,สถานีไฟฟ้ากุยบุรี,กฟส.กุยบุรี,สถานีไฟฟ้า,CSCS/SCPS,94.08,4,12.10,3,0.10,2,0.45,1,0.00,2,0.22
LSA_S,LANG SUAN,สถานีไฟฟ้าหลังสวน,กฟส.หลังสวน,สถานีไฟฟ้า,CSCS/SCPS,99.76,13,45611.43,16,89.55,19,18.39,0,0.00,2,0.63
NOM_S,NONG PLA MO,สถานีไฟฟ้าหนองปลาหมอ,กฟส.บ้านโป่ง,สถานีไฟฟ้า,CSCS/SCPS,99.95,19,77241.20,6,2.12,6,3.57,14,34.32,2,0.77
PBA_S,PHETCHABURI 1,สถานีไฟฟ้าเพชรบุรี 1,กฟส.เพชรบุรี,สถานีไฟฟ้า,CSCS/SCPS,72.84,11,21006.56,14,7802.32,11,11.86,0,0.00,9,18.56
PBB_S,PHETCHABURI 2,สถานีไฟฟ้าเพชรบุรี 2,กฟส.เพชรบุรี,สถานีไฟฟ้า,CSCS/SCPS,31.12,2,0.38,2,0.31,2,0.45,0,0.00,2,0.08
PDA_S,PRACHUAP KHIRI KHAN,สถานีไฟฟ้าประจวบคีรีขันธ์,กฟส.ประจวบคีรีขันธ์,สถานีไฟฟ้า,CSCS/SCPS,58.60,5,2527.52,8,0.22,7,1769.36,2,0.01,7,16.33
PNA_S,PRAN BURI,สถานีไฟฟ้าปราณบุรี,กฟส.ปราณบุรี,สถานีไฟฟ้า,CSCS/SCPS,45.21,3,0.79,2,0.14,2,0.59,1,0.01,2,0.22
PTH_S,PAKTHO 1,สถานีไฟฟ้าปากท่อ 1,กฟส.ปากท่อ,สถานีไฟฟ้า,CSCS/SCPS,99.44,10,22531.26,1,1.02,4,9.56,5,116.91,1,0.13
PTI_S,PAKTHO 2,สถานีไฟฟ้าปากท่อ 2,กฟส.ปากท่อ,สถานีไฟฟ้า,CSCS/SCPS,99.90,8,17485.30,8,11.29,8,6.66,0,0.00,2,0.16
PTR_S,PHOTHARAM 1,สถานีไฟฟ้าโพธาราม 1,กฟส.โพธาราม,สถานีไฟฟ้า,CSCS/SCPS,99.53,7,3497.04,3,0.24,4,11.88,2,0.92,3,3.37
PTS_S,PHOTHARAM 2,สถานีไฟฟ้าโพธาราม 2,กฟส.โพธาราม,สถานีไฟฟ้า,CSCS/SCPS,99.99,5,48525.20,2,0.34,2,2.64,3,0.02,2,0.34
QTA_S,PATHIO,สถานีไฟฟ้าปะทิว,กฟส.ปะทิว,สถานีไฟฟ้า,CSCS/SCPS,96.12,6,10693.47,5,422.76,4,8.37,1,0.00,2,0.46
RBA_S,RATCHABURI 1,สถานีไฟฟ้าราชบุรี 1,กฟส.ราชบุรี,สถานีไฟฟ้า,CSCS/SCPS,46.83,9,25545.94,11,1.08,12,7226.14,6,21742.21,10,35.66
RBBHV_S,RATCHABURI 2 (115 kV),สถานีไฟฟ้าราชบุรี(ลานไก),กฟส.ราชบุรี,สถานีไฟฟ้า,CSCS/SCPS,92.74,7,10569.40,2,820.75,3,6.04,1,0.98,0,0.00
RBBMV_S,RATCHABURI 2,สถานีไฟฟ้าราชบุรี 2,กฟส.ราชบุรี,สถานีไฟฟ้า,CSCS/SCPS,5.38,3,0.10,3,0.07,3,1.67,0,0.00,2,0.01
RBC_S,RATCHABURI 3,สถานีไฟฟ้าราชบุรี 3,กฟส.ราชบุรี,สถานีไฟฟ้า,CSCS/SCPS,27.84,4,5.46,2,0.08,2,1.42,2,12.15,2,0.51
RBU_S,RATCHABURI 3 (TEMPORARY),สถานีไฟฟ้าราชบุรี 3 (ชั่วคราว),กฟส.ราชบุรี,สถานีไฟฟ้า,CSCS/SCPS,99.66,19,227358.70,2,0.26,0,0.00,17,767.14,2,0.31
RIU_S,RATCHABURI INDUSTRIAL ESTATE,สถานีไฟฟ้านิคมอุตสาหกรรมราชบุรี (ชั่วคราว),กฟส.ราชบุรี,สถานีไฟฟ้า,CSCS/SCPS,96.62,3,439.54,2,0.51,2,0.04,1,14.17,2,0.66
RNA_S,RANONG 1,สถานีไฟฟ้าระนอง 1,กฟส.ระนอง,สถานีไฟฟ้า,CSCS/SCPS,99.93,6,3662.05,4,2.19,4,0.33,0,0.00,2,0.08
RNB_S,RANONG 2,สถานีไฟฟ้าระนอง 2,กฟส.ระนอง,สถานีไฟฟ้า,CSCS/SCPS,51.15,7,10.02,5,4.16,7,5.16,1,0.01,2,0.23
SSA_S,SAMUT SONGKHRAM,สถานีไฟฟ้าสมุทรสงคราม,กฟส.สมุทรสงคราม,สถานีไฟฟ้า,CSCS/SCPS,98.82,22,13874.16,10,144.50,20,20.54,0,0.00,2,0.10
SWN_S,SAWI,สถานีไฟฟ้าสวี,กฟส.สวี,สถานีไฟฟ้า,CSCS/SCPS,81.79,10,38675.56,12,8545.92,10,53.92,0,0.00,5,10.66
TNA_S,THA YANG,สถานีไฟฟ้าท่ายาง,กฟส.ท่ายาง,สถานีไฟฟ้า,CSCS/SCPS,28.86,2,0.73,3,0.23,3,0.56,0,0.00,2,1.00
TSE_S,THA SAE,สถานีไฟฟ้าท่าแซะ,กฟส.ท่าแซะ,สถานีไฟฟ้า,CSCS/SCPS,20.04,5,1.11,3,3.19,3,1.13,1,0.00,2,0.11
XPA_S,SUAN PHUENG,สถานีไฟฟ้าสวนผึ้ง,กฟส.สวนผึ้ง,สถานีไฟฟ้า,CSCS/SCPS,85.04,10,2047.31,2,0.15,6,7.48,4,351.88,2,0.52
