Event Summary - Thursday, April 3, 2025 3:01:54 PM
 Start Date: 10/01/2025 12:00:00 AM End Date: 19/01/2025 12:00:00 AM
Region contains S1
AND Substation contains S1 FRTU
AND Message contains Remote unit state changed from Offline to Connecting.
AND Device contains S1-RCS

"#","Process time","Field change time","Message","Note","Type","Region","Subregion","Substation","Feeder","Location","Device","Device type","AOR","Element","RTU","Alias","Severity","Voltage level [kV]","Category","Class","Activity","Inhibit","Source","User name","Console name","Reason source","Reason ID"
"1","18/01/2025 3:34:17.294 PM","18/01/2025 3:34:17.293 PM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0061","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0061","S1-RCS-0061","TSE02S-18","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"2","17/01/2025 4:13:22.365 PM","17/01/2025 4:13:22.364 PM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0397","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0397","S1-RCS-0397","CBN03S-20 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"3","17/01/2025 8:24:20.909 AM","17/01/2025 8:24:20.908 AM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0397","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0397","S1-RCS-0397","CBN03S-20 : Cellular TRUE","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"4","16/01/2025 9:53:41.217 AM","16/01/2025 9:53:41.215 AM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0323","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0323","S1-RCS-0323","TSE10S-21 : Cellular PP Ontime","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"5","15/01/2025 12:04:05.817 PM","15/01/2025 12:04:05.816 PM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1093","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1093","S1-RCS-1093","LSA08S-22 : Master PLS (Pak Nam Lang Suan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"6","15/01/2025 12:03:32.037 PM","15/01/2025 12:03:32.036 PM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1093","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1093","S1-RCS-1093","LSA08S-22 : Master PLS (Pak Nam Lang Suan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"7","15/01/2025 11:58:45.049 AM","15/01/2025 11:58:45.045 AM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0035","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0035","S1-RCS-0035","TSE08S-10 : Master TSE (Tha Sae Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"8","15/01/2025 11:57:03.231 AM","15/01/2025 11:57:03.230 AM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0035","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0035","S1-RCS-0035","TSE08S-10 : Master TSE (Tha Sae Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"9","15/01/2025 11:29:37.534 AM","15/01/2025 11:29:37.533 AM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0035","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0035","S1-RCS-0035","TSE08S-10 : Master TSE (Tha Sae Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"10","15/01/2025 11:20:49.662 AM","15/01/2025 11:20:49.661 AM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1093","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1093","S1-RCS-1093","LSA08S-22 : Master PLS (Pak Nam Lang Suan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"11","15/01/2025 11:17:27.365 AM","15/01/2025 11:17:27.363 AM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-1093","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-1093","S1-RCS-1093","LSA08S-22 : Master PLS (Pak Nam Lang Suan Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"12","15/01/2025 10:10:16.805 AM","15/01/2025 10:10:16.805 AM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0600","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0600","S1-RCS-0600","CPA07S-09 : Master CPP (Chumphon Office)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"13","15/01/2025 9:10:58.078 AM","15/01/2025 9:10:58.077 AM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0840","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0840","S1-RCS-0840","RBB05S-05 : Master RBB (Ratchaburi 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"14","14/01/2025 9:17:55.560 AM","14/01/2025 9:17:55.559 AM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0283","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0283","S1-RCS-0283","HUB10S-06 : Master HUC (Hua Hin 3 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"15","12/01/2025 8:52:52.009 AM","12/01/2025 8:52:52.008 AM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0733","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0733","S1-RCS-0733","RNB06S-06 : Master RNB (Ranong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""
"16","12/01/2025 8:52:33.688 AM","12/01/2025 8:52:33.687 AM","Remote unit state changed from Offline to Connecting.","","Event","S1 MV","","S1 FRTU","","S1 FRTU","S1-RCS-0733","Remote unit","S1-HV,S1-MV,S1-Viewer","S1-RCS-0733","S1-RCS-0733","RNB06S-06 : Master RNB (Ranong 2 Substation)","Trivial","NaN","Unknown","IT","Telemetry Alarm","None","SCADA","core\dnaApp_pcore","DC1-COR-DRT2","",""



