อุปกรณ์,รายละเอียด,ความพร้อมใช้งาน (%),จำนวนครั้ง Initializing,ระยะเวลา Initializing (seconds),จำนวนครั้ง Telemetry Failure,ระยะเวลา Telemetry Failure (seconds),จำนวนครั้ง Connecting,ระยะเวลา Connecting (seconds),ช่วงเวลาความพร้อมใช้งาน
S1-AVR-0003,PTH04A-01,80.85663309576194,208.0,343.24399999999997,7.0,70.89,202.0,551.3149999999999,ม.ค. 2025
S1-AVR-0004,RBB08A-01,84.33765009520133,189.0,351.989,9.0,1.9320000000000002,188.0,400.395,ม.ค. 2025
S1-AVR-0005,PBA06A-01,79.51407037356958,141.0,253.141,15.0,77.945,140.0,339.137,ม.ค. 2025
S1-AVR-0006,HUU03A-01,98.43418327352786,186.0,281.764,5.0,0.7060000000000001,184.0,464.358,ม.ค. 2025
S1-AVR-0007,TSE05A-01,66.49787293052468,114.0,55.436,4.0,0.059,114.0,94.291,ม.ค. 2025
S1-AVR-0008,LSA03A-01,68.6959355561321,136.0,38.799,3.0,2.6759999999999997,126.0,57.464,ม.ค. 2025
S1-AVR-0009,LSA09A-01,0.0,94.0,1344.025,0.0,0.0,91.0,312.801,ม.ค. 2025
S1-AVR-0010,LSA10A-01,98.21363571610392,502.0,1013.818,3.0,0.33099999999999996,492.0,1580.307,ม.ค. 2025
S1-AVR-0011,CPA08A-01,42.02958009395065,121.0,21.428,3.0,0.061,118.0,35.031,ม.ค. 2025
S1-AVR-0012,XPA04A-01,79.12408715404989,1891.0,7535.889,276.0,2505.922,1894.0,17353.5,ม.ค. 2025
S1-AVR-0013,XPA01A-01,77.47498008869871,224.0,544.116,6.0,21.027,221.0,700.746,ม.ค. 2025
S1-CSW-0001,PBA01YB-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-LBS-0001,RBB02YS-20,34.515010922882176,2732.0,38711.783,457.0,4566.5380000000005,2731.0,169881.125,ม.ค. 2025
S1-LBS-0002,RBB05YS-05,63.064092888225275,259.0,243.25,2.0,0.07100000000000001,251.0,912.152,ม.ค. 2025
S1-LBS-0003,KHY04YS-07,46.625747489907944,2390.0,52234.421,173.0,44212.144,2387.0,100686.13299999999,ม.ค. 2025
S1-LBS-0004,RBB04YS-05,41.4018793294592,381.0,2714.84,2.0,4.073,378.0,5072.616,ม.ค. 2025
S1-LBS-0005,PTR03YS-06,7.456281815884813,442.0,7053.975,2.0,0.044,437.0,96576.283,ม.ค. 2025
S1-LBS-0006,BSP03YS-09,71.26879381756659,68.0,179.809,7.0,7.958,66.0,219.62800000000001,ม.ค. 2025
S1-LBS-0007,BSP03YS-08,53.066191781433695,40.0,98.961,10.0,18.893,36.0,50.292,ม.ค. 2025
S1-LBS-0008,BSP02YS-10,23.87318399770987,41.0,14.677,8.0,1.963,36.0,142.918,ม.ค. 2025
S1-LBS-0009,BSP01YS-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-LBS-0010,BSP02YS-08,28.686100549218423,29.0,13.960999999999999,8.0,0.288,23.0,24.575,ม.ค. 2025
S1-LBS-0011,RBB02YS-10,40.226831198471466,152.0,193.759,7.0,1.87,144.0,214.504,ม.ค. 2025
S1-LBS-0012,TSE03YS-05,39.62554304106282,197.0,174.962,3.0,0.43400000000000005,192.0,1294.104,ม.ค. 2025
S1-LBS-0013,TSE03YS-08,50.84706791504006,173.0,166.371,3.0,1.057,171.0,1119.634,ม.ค. 2025
S1-LBS-0014,RBB03YS-06,35.32879222919582,1120.0,21971.362,1037.0,19943.752,1111.0,37391.245,ม.ค. 2025
S1-LBS-0015,CAB04YS-07,33.40620554679389,1548.0,18749.972,772.0,52423.594,1545.0,114914.201,ม.ค. 2025
S1-LBS-0016,HUB02YS-07,98.27288232778032,209.0,372.432,10.0,0.654,204.0,494.885,ม.ค. 2025
S1-LBS-0017,CPB02YS-03,89.60881636700594,124.0,150.637,10.0,0.196,118.0,225.563,ม.ค. 2025
S1-LBS-0018,RBB03YS-07,94.79114319724128,115.0,157.006,15.0,2.289,111.0,153.321,ม.ค. 2025
S1-LBS-0019,PTR07YS-04,92.56025993950662,153.0,179.583,11.0,2.3329999999999997,152.0,132.801,ม.ค. 2025
S1-LBS-0020,RBB05YS-15,52.402043952807034,151.0,242.502,3.0,0.023,145.0,329.502,ม.ค. 2025
S1-LBS-0021,PTH04YS-05,53.2791551562929,284.0,2681.779,10.0,87.718,276.0,3863.281,ม.ค. 2025
S1-LBS-0022,BPB05YS-04,49.282893237201726,398.0,7420.797,4.0,131.612,393.0,9517.545,ม.ค. 2025
S1-LBS-0023,BPB01YS-04,54.563680536975426,51.0,809.284,6.0,107.14999999999999,46.0,601.767,ม.ค. 2025
S1-LBS-0024,BPB05YS-07,82.8695593651362,322.0,3818.293,10.0,98.444,319.0,7432.977,ม.ค. 2025
S1-RCS-0001,BSP10S-19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0002,BSR06S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0003,HUB05S-51,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0004,BSP09S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0005,BSR07S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0006,BSP09S-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0007,CBN04S-28,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0008,TSE02S-27,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0009,TSE09S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0010,CAB04S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0011,CAB10S-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0012,CAA06S-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0013,CAA03S-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0014,CAA03S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0015,CAB09S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0016,CAA03S-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0017,CAB10S-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0018,CAB04S-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0019,HUB09S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0020,HUB06S-03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0021,PBB04S-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0022,CAB05S-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0023,CAA06S-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0024,CPB07S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0025,CPA03S-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0026,RNB08S-16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0027,RNB07S-16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0028,TSE08S-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0029,TSE07S-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0030,TSE07S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0031,RIU01S-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0032,CAA07S-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0033,CPA01S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0034,TSE05S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0035,TSE08S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0036,CPB07S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0037,CPB10S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0038,CPB08S-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0039,CPB06S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0040,DNA07S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0041,DNA07S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0042,DNA02S-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0043,DNA02S-17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0044,DNA01S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0045,CAB10S-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0046,HUB05S-03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0047,HUB04S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0048,CAB05S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0049,HUB05S-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0050,CAA04S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0051,KDA01S-20,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0052,KHY10S-03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0053,KHY09S-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0054,KHY10S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0055,KHZ01S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0056,KHY08S-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0057,KHY02S-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0058,CPA08S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0059,HUB02S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0060,TSE06S-16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0061,TSE02S-18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0062,PTR06S-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0063,HUB08S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0064,PTR06S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0065,RIU02S-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0066,CAB04S-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0067,CAB04S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0068,PBA07S-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0069,PBB02S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0070,PBB02S-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0071,PBA11S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0072,PBA10S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0073,PBA06S-22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0074,CAA06S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0075,PBA09S-18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0076,PBA01S-17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0077,PBA07S-22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0078,PTR03S-16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0079,PBB05S-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0080,PTS01S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0081,PTS02S-20,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0082,PDA07S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0083,RIU03S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0084,HUC02S-51,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0085,PDA10S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0086,KUA01S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0087,PDA04S-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0088,PDA08S-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0089,PDA06S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0090,XPA02S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0091,KUA04S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0092,HUB02S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0093,HUC02S-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0094,PNA01S-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0095,PNA02S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0096,CAB05S-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0097,HUB09S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0098,PNA05S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0099,HUC03S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0100,HUB09S-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0101,PNA07S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0102,PNA01S-17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0103,PNA07S-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0104,PTH03S-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0105,HUC03S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0106,SSA09S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0107,PTH06S-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0108,HUB03S-52,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0109,PTH07S-16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0110,PNA08S-22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0111,HUC02S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0112,PTH04S-19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0113,HUB10S-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0114,HUB03S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0115,PTR03S-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0116,PTR02S-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0117,PTR01S-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0118,PTR02S-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0119,PTR05S-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0120,PTR05S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0121,PTR07S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0122,PTR10S-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0123,PTR04S-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0124,PTS05S-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0125,PTR08S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0126,RBA08S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0127,PTR02S-19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0128,RBA06S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0129,RBC05S-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0130,RBC03S-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0131,RBC03S-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0132,CBN06S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0133,CBN10S-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0134,RBB03S-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0135,KUA02S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0136,RBB08S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0137,RBC04S-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0138,CBN02S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0139,CBN01S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0140,RBB03S-17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0141,HUC02S-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0142,RBA06S-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0143,RBA06S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0144,RBA06S-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0145,RNB04S-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0146,RNA05S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0147,SSA09S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0148,RNB09S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0149,RNB03S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0150,RNA03S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0151,RNA05S-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0152,RNA06S-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0153,RNA06S-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0154,RNB02S-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0155,RNB02S-16,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0156,CBN10S-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0157,HUB09S-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0158,RNB03S-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0159,RNB08S-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0160,KUA09S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0161,CBN04S-23,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0162,RNB02S-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0163,BSR01S-09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0164,RNB05S-19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
S1-RCS-0165,RNB06S-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ม.ค. 2025
